Arsenal,Aston Villa,Bournemouth,Brentford,Brighton,Chelsea,Crystal Palace,Everton,Fulham,Leeds,Leicester,Liverpool,Man City,Man United,Newcastle,Nottingham,Southampton,Tottenham,West Ham,Wolves
2,-2,2,0,1,1,-2,-1,0,1,0,0,2,-1,2,-2,-3,3,-2,-1
4,-1,-2,4,1,1,-2,-2,0,1,-2,0,6,-5,2,-1,-3,3,-3,-1
7,-3,-5,3,3,-2,0,-2,1,4,-3,-1,6,-4,2,-1,-2,4,-5,-2
8,-4,-14,3,4,-1,-2,-2,0,3,-4,8,8,-3,2,-3,-3,6,-4,-2
9,-5,-14,3,3,-2,-2,-2,1,3,-5,9,14,-2,1,-9,-2,6,-4,-2
7,-5,-13,6,6,-1,-2,-2,0,0,-8,9,14,0,1,-10,-3,7,-5,-1
10,-4,-13,3,6,0,-3,-1,1,0,-12,9,17,-3,1,-11,-4,11,-6,-4
12,-4,-13,3,5,3,-2,0,-2,-1,-8,8,20,-2,4,-15,-5,9,-4,-6
13,-4,-12,-1,3,5,-2,-1,-4,-2,-9,9,24,-2,8,-15,-9,10,-2,-9
14,-6,-12,1,3,5,-1,-3,-4,-4,-9,10,23,0,8,-16,-9,12,-2,-8
14,-9,-13,1,1,5,-4,-4,-1,-5,-7,9,25,0,9,-16,-8,10,-3,-9
19,-5,-15,-3,4,2,-3,-1,0,-4,-3,8,26,1,10,-15,-8,9,-1,-13
20,-9,-16,-3,5,1,-2,-1,0,-3,-4,9,27,-1,14,-20,-9,10,-2,-13
22,-7,-17,-3,4,0,-3,-3,-1,-4,-2,11,26,0,17,-20,-12,9,-3,-14
24,-6,-14,-2,6,2,-6,-6,-2,-6,0,13,28,3,18,-19,-14,10,-5,-16
26,-8,-16,-2,4,2,-4,-7,1,-6,-3,14,28,4,21,-22,-16,10,-7,-15
26,-6,-18,0,7,1,-8,-7,2,-6,-4,12,29,7,21,-22,-17,8,-9,-16
28,-6,-21,2,10,0,-9,-10,3,-7,-5,9,28,8,21,-21,-18,12,-9,-16
29,-5,-23,4,10,1,-9,-11,4,-7,-7,9,30,8,22,-19,-17,10,-10,-15
28,-4,-23,4,11,1,-9,-13,3,-8,-7,6,33,7,22,-19,-18,8,-8,-18
28,-6,-24,7,11,1,-10,-12,2,-8,-5,8,32,8,22,-18,-21,9,-8,-15
26,-8,-24,7,10,1,-10,-14,2,-10,-2,10,34,8,22,-20,-22,10,-8,-14
28,-10,-23,7,14,0,-10,-13,4,-11,-5,10,36,10,20,-20,-21,7,-10,-15
29,-8,-26,8,14,-2,-10,-15,5,-10,-6,12,36,13,18,-24,-22,9,-6,-15
33,-7,-27,7,15,-1,-11,-19,5,-11,-7,19,39,6,19,-24,-21,11,-10,-17
34,-7,-26,9,15,1,-12,-19,4,-11,-9,18,41,6,20,-26,-21,10,-10,-16
37,-4,-29,9,17,1,-13,-18,1,-9,-9,15,42,4,22,-27,-23,12,-9,-17
40,-2,-28,9,16,-1,-16,-18,0,-12,-10,15,45,5,26,-27,-23,12,-13,-19
43,-1,-30,8,17,-1,-15,-18,-1,-11,-11,15,48,7,27,-28,-24,12,-12,-19
43,1,-29,7,15,-2,-11,-20,1,-15,-12,20,50,9,24,-30,-27,13,-12,-18
43,4,-28,5,21,-3,-9,-22,2,-20,-14,21,53,9,29,-32,-29,12,-8,-16
43,4,-32,5,22,-5,-9,-22,1,-21,-13,22,54,10,32,-33,-29,7,-9,-17
40,5,-31,7,18,-7,-11,-25,0,-21,-13,23,57,9,34,-31,-30,7,-10,-15
42,4,-28,8,21,-5,-10,-25,-1,-24,-13,24,58,8,32,-32,-32,6,-13,-21
44,3,-30,7,18,-5,-11,-21,1,-25,-15,25,61,10,32,-31,-33,7,-12,-20
41,4,-32,9,20,-6,-9,-24,3,-25,-18,28,62,11,35,-31,-35,6,-14,-22
40,4,-33,11,20,-9,-9,-24,3,-27,-18,28,62,14,35,-30,-37,4,-12,-22
45,5,-34,12,19,-9,-9,-23,2,-30,-17,28,61,15,35,-30,-37,7,-13,-27
